index,type,position,t_enter_SA1,t_enter_PW,t_enter_SA3,t_exit_system,t_SA1_basic,t_SA1_add,t_PW_basic,t_SA2_add,t_SA3_basic,t_SA3_add,total_time
236,PA2,PASSED,39.4,42.4,45.8,52.8,2.9130434782608696,0.0,3.344782817194601,0.0,6.936162953448973,0.0,13.193989248904444
237,PA2,PASSED,39.7,42.7,46.1,53.1,2.9130434782608696,0.0,3.344782817194601,0.0,6.936162953448973,0.0,13.193989248904444
238,PA1,PASSED,39.9,83.8,99.3,105.1,3.329192546583851,40.500000000000306,15.499999999999998,0.0,5.767080745341614,0.0,65.09627329192577
239,PA2,PASSED,39.9,42.9,46.3,53.2,2.9130434782608696,0.0,3.344782817194601,0.0,6.851324559657186,0.0,13.109150855112656
240,PA2,PASSED,40.2,43.2,46.6,53.5,2.9130434782608696,0.0,3.344782817194601,0.0,6.851324559657186,0.0,13.109150855112656
241,PA1,PASSED,40.4,84.3,99.8,105.6,3.329192546583851,40.500000000000306,15.499999999999998,0.0,5.767080745341614,0.0,65.09627329192577
242,PA2,PASSED,40.4,43.4,46.8,53.8,2.9130434782608696,0.0,3.344782817194601,0.0,6.936162953448973,0.0,13.193989248904444
243,PA2,PASSED,40.7,43.7,47.1,54.0,2.9130434782608696,0.0,3.344782817194601,0.0,6.851324559657186,0.0,13.109150855112656
244,PA1,PASSED,40.9,84.8,100.3,106.1,3.329192546583851,40.500000000000306,15.499999999999998,0.0,5.767080745341614,0.0,65.09627329192577
245,PA2,PASSED,40.9,43.9,47.3,54.2,2.9130434782608696,0.0,3.344782817194601,0.0,6.851324559657186,0.0,13.109150855112656
246,PA2,PASSED,41.2,44.2,47.6,54.4,2.9130434782608696,0.0,3.344782817194601,0.0,6.77204354519501,0.0,13.02986984065048
247,PA1,PASSED,41.4,85.3,100.8,106.6,3.329192546583851,40.500000000000306,15.499999999999998,0.0,5.76483001635887,0.0,65.09402256294302
248,PA2,PASSED,41.4,44.4,47.8,54.6,2.9130434782608696,0.0,3.344782817194601,0.0,6.77204354519501,0.0,13.02986984065048
249,PA2,PASSED,41.7,44.7,48.1,54.8,2.9130434782608696,0.0,3.344782817194601,0.0,6.6979901126925405,0.0,12.95581640814801
250,PA1,PASSED,41.9,85.8,101.3,107.1,3.329192546583851,40.500000000000306,15.499999999999998,0.0,5.757481672706928,0.0,65.08667421929108
251,PA2,PASSED,41.9,44.9,48.3,55.0,2.9130434782608696,0.0,3.344782817194601,0.0,6.6979901126925405,0.0,12.95581640814801
252,PA2,PASSED,42.2,45.2,48.6,55.3,2.9130434782608696,0.0,3.344782817194601,0.0,6.6979901126925405,0.0,12.95581640814801
253,PA1,PASSED,42.4,86.3,101.8,107.6,3.329192546583851,40.500000000000306,15.499999999999998,0.0,5.753169167447091,0.0,65.08236171403124
254,PA2,PASSED,42.4,45.4,48.8,55.5,2.9130434782608696,0.0,3.344782817194601,0.0,6.6979901126925405,0.0,12.95581640814801
255,PA2,PASSED,42.7,45.7,49.1,55.8,2.9130434782608696,0.0,3.344782817194601,0.0,6.628863947860216,0.0,12.886690243315687
256,PA1,PASSED,42.9,86.8,102.3,108.1,3.329192546583851,40.500000000000306,15.499999999999998,0.0,5.751769440391113,0.0,65.08096198697527
