T,D_SA1,D_PW1,D_PW2,D_SA3,D_pass,K_PW2,K_SA3,queue_PW1
17.8,62,15,5,13,11,0.4901960784313726,0.5963302752293578,43
17.9,63,15,6,12,12,0.5882352941176471,0.5504587155963303,43
18.0,63,15,6,12,12,0.5882352941176471,0.5504587155963303,43
18.1,63,15,6,12,12,0.5882352941176471,0.5504587155963303,44
18.2,64,15,6,12,12,0.5882352941176471,0.5504587155963303,44
18.3,64,15,5,13,12,0.4901960784313726,0.5963302752293578,45
18.4,65,15,6,12,13,0.5882352941176471,0.5504587155963303,45
18.5,65,15,6,12,13,0.5882352941176471,0.5504587155963303,45
18.6,65,15,6,12,13,0.5882352941176471,0.5504587155963303,46
18.7,66,15,6,12,13,0.5882352941176471,0.5504587155963303,46
18.8,66,15,5,13,13,0.4901960784313726,0.5963302752293578,47
18.9,67,15,6,12,14,0.5882352941176471,0.5504587155963303,47
19.0,67,15,6,12,14,0.5882352941176471,0.5504587155963303,47
19.1,67,14,6,13,14,0.5882352941176471,0.5963302752293578,48
19.2,67,15,6,13,14,0.5882352941176471,0.5963302752293578,47
19.3,67,14,5,15,14,0.4901960784313726,0.6880733944954128,48
19.4,67,15,6,14,15,0.5882352941176471,0.6422018348623852,47
19.5,67,15,6,14,15,0.5882352941176471,0.6422018348623852,47
19.6,67,14,6,15,15,0.5882352941176471,0.6880733944954128,48
19.7,67,15,6,15,15,0.5882352941176471,0.6880733944954128,47
19.8,67,14,5,17,15,0.4901960784313726,0.7798165137614679,48
19.9,67,15,6,16,16,0.5882352941176471,0.7339449541284403,47
20.0,67,15,6,16,16,0.5882352941176471,0.7339449541284403,47
20.1,67,14,6,17,16,0.5882352941176471,0.7798165137614679,48
20.2,67,15,6,17,16,0.5882352941176471,0.7798165137614679,47
20.3,67,14,5,19,16,0.4901960784313726,0.8715596330275229,48
20.4,67,15,6,18,17,0.5882352941176471,0.8256880733944953,47
20.5,67,15,6,18,17,0.5882352941176471,0.8256880733944953,47
20.6,67,14,6,19,17,0.5882352941176471,0.8715596330275229,48
20.7,67,15,6,19,17,0.5882352941176471,0.8715596330275229,47
20.8,67,14,5,21,17,0.4901960784313726,0.963302752293578,48
20.9,67,15,6,20,18,0.5882352941176471,0.9174311926605504,47
21.0,67,15,6,20,18,0.5882352941176471,0.9174311926605504,47
21.1,67,14,6,21,18,0.5882352941176471,0.963302752293578,48
21.2,67,15,6,21,18,0.5882352941176471,0.963302752293578,47
21.3,67,14,5,23,18,0.4901960784313726,1.055045871559633,48
21.4,67,15,6,22,19,0.5882352941176471,1.0091743119266054,47
21.5,67,15,6,22,19,0.5882352941176471,1.0091743119266054,47
21.6,67,14,6,23,19,0.5882352941176471,1.055045871559633,48
21.7,67,15,6,23,19,0.5882352941176471,1.055045871559633,47
21.8,67,14,5,25,19,0.4901960784313726,1.146788990825688,48
21.9,67,15,6,24,20,0.5882352941176471,1.1009174311926606,47
22.0,67,15,6,24,20,0.5882352941176471,1.1009174311926606,47
22.1,67,14,6,25,20,0.5882352941176471,1.146788990825688,48
22.2,67,15,6,25,20,0.5882352941176471,1.146788990825688,47
22.3,67,14,5,27,20,0.4901960784313726,1.238532110091743,48
22.4,67,15,6,26,21,0.5882352941176471,1.1926605504587156,47
22.5,67,15,6,26,21,0.5882352941176471,1.1926605504587156,47
22.6,67,14,6,27,21,0.5882352941176471,1.238532110091743,48
22.7,67,15,6,27,21,0.5882352941176471,1.238532110091743,47
22.8,67,15,5,28,21,0.4901960784313726,1.2844036697247705,48
22.9,68,15,6,27,22,0.5882352941176471,1.238532110091743,48
23.0,68,15,6,27,22,0.5882352941176471,1.238532110091743,48
23.1,68,15,6,27,22,0.5882352941176471,1.238532110091743,49
23.2,69,15,6,27,22,0.5882352941176471,1.238532110091743,49
23.3,69,15,5,28,22,0.4901960784313726,1.2844036697247705,50
23.4,70,15,6,27,23,0.5882352941176471,1.238532110091743,50
23.5,70,15,6,27,23,0.5882352941176471,1.238532110091743,50
23.6,70,15,6,27,23,0.5882352941176471,1.238532110091743,51
23.7,71,15,6,27,23,0.5882352941176471,1.238532110091743,51
23.8,71,15,5,28,23,0.4901960784313726,1.2844036697247705,52
23.9,72,15,6,27,24,0.5882352941176471,1.238532110091743,52
24.0,72,15,6,27,24,0.5882352941176471,1.238532110091743,52
24.1,72,15,6,27,24,0.5882352941176471,1.238532110091743,53
24.2,73,15,6,27,24,0.5882352941176471,1.238532110091743,53
24.3,73,15,5,28,24,0.4901960784313726,1.2844036697247705,54
